Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
HP ProBook 440 G10 13th Gen Core i5 14 inches (8GB-512GB),187999.0,200000.0,6,0,0,Hp,Core i5,512GB,ProBook 440 G10 13th Gen Core i5 14 inches
HP ENVY 14-ES1013DX 14th Gen Core 5 120U (8GB-512GB SSD) x360 Touch,169999.0,200000.0,15,5,1,Hp,Core 5,512GB,ENVY 14-ES1013DX 14th Gen Core 5 120U  x360 Touch
Lenovo ThinkPad E14 G5 13th Gen Core i7 1355U (8GB-512GB),285999.0,310000.0,8,0,0,Lenovo,Core i7,512GB,ThinkPad E14 G5 13th Gen Core i7 1355U
HP Spectre 2-in-1 X360 16-F2013DX 13th Gen Core i7,346999.0,380000.0,9,0,0,Hp,Core i7,1TB,Spectre 2-in-1 X360 16-F2013DX 13th Gen Core i7
Dell Vostro 15 3530 13th Gen Core i5 1334u,142999.0,180000.0,21,5,1,Dell,Core i5,512GB,Vostro 15 3530 13th Gen Core i5 1334u
Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 5 (8GB-512GB),243999.0,275000.0,11,0,0,Lenovo,Ultra 5,512GB,ThinkPad E16 Gen 2 - Intel Core Ultra 5
Lenovo Thinkpad  T14 13th Gen Core I7 DOS,388999.0,400000.0,3,0,0,Lenovo,Core i7,512GB,Thinkpad  T14 13th Gen Core I7 DOS
HP Probook 440 G11 Ultra 7 155u,227999.0,275000.0,17,0,0,Hp,Ultra 7,512GB,Probook 440 G11 Ultra 7 155u
Infinix INBOOK Y3H Plus (YL513H) Core i5 12450H (16GB - 512GB),159999.0,169999.0,6,0,0,Infinix,Core i5,512GB,INBOOK Y3H Plus
HP VICTUS 15-FB3093DX  R7-7445HS (16GB 512GB) RTX-4050-6GB,244999.0,288999.0,15,0,0,Hp,Ryzen 7,512GB,VICTUS 15-FB3093DX  R7-7445HS  RTX-4050-6GB
HP OMNIBOOK 14 FP0023DX Core 7 150U (16GB-512GB),217999.0,255000.0,15,0,0,Hp,Core 7,512GB,OMNIBOOK 14 FP0023DX Core 7 150U
Lenovo IdeaPad Slim 5 Ultra 5 125H (16GB-512GB) DOS,199999.0,224999.0,11,0,0,Lenovo,Ultra 5,512GB,IdeaPad Slim 5 Ultra 5 125H  DOS
Lenovo IdeaPad Slim 5 Ultra 7 155H (16GB-512GB) DOS,256999.0,280000.0,8,0,0,Lenovo,Ultra 7,512GB,IdeaPad Slim 5 Ultra 7 155H  DOS
Lenovo loq 15 13th Core i7 13650hx (24GB-512GB) DOS,324999.0,355000.0,8,5,1,Lenovo,Core i7,512GB,loq 15 13th Core i7 13650hx  DOS
HP Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen (4GB-256GB),110999.0,119000.0,7,5,1,Hp,Core i3,256GB,Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen
LENOVO LOQ 15 Ci7 13650HX,300999.0,349000.0,14,0,0,Lenovo,Core i7,512GB,LOQ 15 Ci7 13650HX
LENOVO LOQ 15 Core i7 14650HX,376999.0,424999.0,11,0,0,Lenovo,Core i7,512GB,LOQ 15 Core i7 14650HX
"HP 15S-FQ5000NIA Ci3-1215U (4GB, 256GB SSD)",101999.0,149000.0,32,0,0,Hp,Core i3,256GB,15S-FQ5000NIA Ci3-1215U
Lenovo Legion 5 Ci7-14650HX (16GB-1TB SSD) RTX 4050 6GB,381999.0,429999.0,11,0,0,Lenovo,Core i7,1TB,Legion 5 Ci7-14650HX  RTX 4050 6GB
Lenovo Legion Pro 5 Ultra 9-275HX (32GB-1TB SSD) RTX 5070 8GB,696999.0,745000.0,6,0,0,Lenovo,Ultra 9,1TB,Legion Pro 5 Ultra 9-275HX  RTX 5070 8GB
ASUS TUF GAMING F15-FX507VV Ci7-13620H (16GB-512GB SSD) RTX 4060 8GB,359999.0,400000.0,10,0,0,Asus,Core i7,512GB,TUF GAMING F15-FX507VV Ci7-13620H  RTX 4060 8GB
ASUS TUF GAMING A14 FA-401WU RYZEN AI 9 HX370 (32GB-1TB SSD) RTX 4050 6GB,501999.0,549000.0,9,0,0,Asus,Ryzen AI 9,1TB,TUF GAMING A14 FA-401WU RYZEN AI 9 HX370  RTX 4050 6GB
ASUS EXPERTBOOK B3402FBA Ci5 1235U (8GB-512GB SSD),169999.0,230000.0,26,0,0,Asus,Core i5,512GB,EXPERTBOOK B3402FBA Ci5 1235U
Asus ExpertBook B3402FVA Ci7 1355U (16GB-512GB SSD),209999.0,260000.0,19,0,0,Asus,Core i7,512GB,ExpertBook B3402FVA Ci7 1355U
Lenovo ThinkPad E16 G3 Ultra 7 255H (16GB-512GB SSD),293999.0,340000.0,14,0,0,Lenovo,Ultra 7,512GB,ThinkPad E16 G3 Ultra 7 255H
